product_id,name,image,price,description,store_id
7,Automated bi-directional alliance,automated_bi-directional_alliance.jpg,901,In investment a center adult employee thank from something once popular lot.,2
10,Innovative impactful strategy,innovative_impactful_strategy.jpg,449,Process laugh top of area then go mind poor less receive stuff.,2
6,Open-architected human-resource knowledge user,open-architected_human-resource_knowledge_user.jpg,611,Day something response message spring knowledge war claim image receive along PM wear visit protect often figure war out.,2
4,Self-enabling web-enabled help-desk,self-enabling_web-enabled_help-desk.jpg,197,Sure feel building help control able this attack thank economic style Mrs people friend rise item.,1
5,Multi-tiered scalable firmware,multi-tiered_scalable_firmware.jpg,685,Since discuss young picture task Mrs language group I mouth I home figure too safe produce population property church its.,1
4,Multi-layered demand-driven core,multi-layered_demand-driven_core.jpg,401,Lead past different short dinner guy ahead fire fly range carry million suffer spring window when check study create.,2
7,Digitized global hub,digitized_global_hub.jpg,624,Animal hour determine trip style life left four price campaign effect when either laugh great message.,1
4,Automated zero tolerance moderator,automated_zero_tolerance_moderator.jpg,234,Give local campaign job contain break recent environment right may rock play vote name institution brother fill month language.,2
5,Reverse-engineered attitude-oriented attitude,reverse-engineered_attitude-oriented_attitude.jpg,919,Property really with after outside week through floor fact by issue through realize involve interview ok administration.,4
7,Reduced exuding system engine,reduced_exuding_system_engine.jpg,875,Could necessary to today during lot analysis where not writer something increase wonder why everything.,2
